dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,contact_extension,pct_students_tested,academic_tier_rating
21K728,LIBERATION DIPLOMA PLUS,10.0,411.0,369.0,373.0,x123,85.0,
22K425,JAMES MADISON HIGH SCHOOL,518.0,436.0,475.0,439.0,x234,92.0,1.0
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236.0,383.0,392.0,370.0,x345,,
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259.0,524.0,561.0,542.0,x123,92.0,2.0
22K555,BROOKLYN COLLEGE ACADEMY,131.0,456.0,456.0,440.0,x234,78.0,4.0
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60.0,389.0,409.0,387.0,x345,85.0,2.0
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55.0,361.0,371.0,359.0,x234,85.0,3.0
23K643,BROOKLYN DEMOCRACY ACADEMY,11.0,349.0,338.0,331.0,x123,78.0,2.0
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7.0,311.0,371.0,311.0,No Data,78.0,4.0
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17.0,350.0,346.0,332.0,x345,78.0,
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69.0,392.0,416.0,388.0,x234,92.0,1.0
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89.0,405.0,454.0,421.0,No Data,85.0,
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39.0,406.0,413.0,400.0,No Data,85.0,1.0
24Q293,CIVIC LEADERSHIP ACADEMY,69.0,404.0,429.0,407.0,x345,85.0,4.0
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55.0,317.0,323.0,311.0,No Data,78.0,1.0
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155.0,545.0,568.0,550.0,x345,78.0,
24Q455,NEWTOWN HIGH SCHOOL,320.0,383.0,440.0,380.0,x345,92.0,4.0
24Q485,GROVER CLEVELAND HIGH SCHOOL,241.0,395.0,420.0,396.0,No Data,78.0,2.0
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58.0,399.0,393.0,385.0,x345,,3.0
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69.0,326.0,409.0,329.0,x123,92.0,4.0
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138.0,391.0,403.0,380.0,x234,92.0,2.0
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80.0,443.0,447.0,440.0,x345,,
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155.0,417.0,447.0,406.0,x234,,4.0
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396.0,445.0,496.0,423.0,No Data,92.0,3.0
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58.0,455.0,498.0,443.0,x123,78.0,3.0
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45.0,314.0,417.0,318.0,x234,,1.0
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59.0,416.0,463.0,392.0,x234,,1.0
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63.0,471.0,489.0,481.0,x234,,3.0
25Q425,JOHN BOWNE HIGH SCHOOL,558.0,397.0,451.0,395.0,x345,78.0,2.0
25Q460,FLUSHING HIGH SCHOOL,347.0,393.0,441.0,382.0,x123,85.0,1.0
25Q467,FLUSHING YABC,9.0,378.0,373.0,344.0,x345,78.0,4.0
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278.0,621.0,651.0,638.0,x123,78.0,1.0
25Q540,QUEENS ACADEMY HIGH SCHOOL,17.0,398.0,382.0,388.0,No Data,,2.0
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99.0,431.0,458.0,441.0,No Data,92.0,2.0
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7.0,379.0,421.0,377.0,No Data,78.0,1.0
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334.0,391.0,397.0,384.0,x345,78.0,3.0
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175.0,425.0,434.0,420.0,x234,85.0,4.0
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87.0,387.0,385.0,373.0,x123,85.0,3.0
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74.0,432.0,419.0,401.0,x234,78.0,2.0
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44.0,391.0,401.0,364.0,x345,85.0,4.0
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93.0,423.0,426.0,416.0,x345,,4.0
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36.0,367.0,379.0,348.0,No Data,92.0,
27Q323,SCHOLARS' ACADEMY,89.0,499.0,537.0,496.0,x123,78.0,3.0
27Q400,AUGUST MARTIN HIGH SCHOOL,101.0,377.0,371.0,360.0,x234,78.0,4.0
27Q410,BEACH CHANNEL HIGH SCHOOL,78.0,384.0,396.0,354.0,x234,,1.0
27Q475,RICHMOND HILL HIGH SCHOOL,404.0,382.0,404.0,368.0,x345,78.0,4.0
27Q480,JOHN ADAMS HIGH SCHOOL,403.0,391.0,409.0,392.0,No Data,92.0,1.0
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194.0,429.0,491.0,425.0,x123,85.0,3.0
